Id,Iq,Phi_d,Phi_q
-238.461538,230.769231,0.0478579087921,0.088957336101
-238.461538,238.461538,0.0487010323284,0.0920915963778
-238.461538,246.153846,0.0492181789893,0.0944618970833
-238.461538,253.846154,0.0502563359555,0.0973802524351
-238.461538,261.538462,0.0513177537865,0.10040146013
-238.461538,269.230769,0.0520406802168,0.102907997504
-238.461538,276.923077,0.05276239125,0.105400770776
-238.461538,284.615385,0.0536137564621,0.108011447381
-238.461538,292.307692,0.0543993633739,0.110526389245
-238.461538,300.000000,0.055229447035,0.113019044876
-230.769231,0.000000,0.00771254384458,-0.026801828857
-230.769231,7.692308,0.0093015488032,-0.0221432217485
-230.769231,15.384615,0.0108621928929,-0.017535837176
-230.769231,23.076923,0.0124452451757,-0.0130098072153
-230.769231,30.769231,0.0140365877592,-0.00852309385611
-230.769231,38.461538,0.015642741812,-0.00408533490244
-230.769231,46.153846,0.0173218398392,0.00029892779813
-230.769231,53.846154,0.0188807361512,0.00465229315585
-230.769231,61.538462,0.0202017777363,0.00903091783215
-230.769231,69.230769,0.0220363892492,0.0133863570333
-230.769231,76.923077,0.0234122335288,0.0177577649084
-230.769231,84.615385,0.0249416497319,0.022167241799
-230.769231,92.307692,0.0264997077013,0.0265740570385
-230.769231,100.000000,0.0278849727498,0.0309121515242
-230.769231,107.692308,0.0292404761771,0.0350000983576
-230.769231,115.384615,0.0305530601769,0.0387847445865
-230.769231,123.076923,0.0318270728412,0.0424527177136
-230.769231,130.769231,0.0331516435095,0.0461450729512
-230.769231,138.461538,0.0344813532783,0.0499323059381
-230.769231,146.153846,0.0357782618227,0.053788320687
-230.769231,153.846154,0.0370717031235,0.0576154659452
-230.769231,161.538462,0.0383163379697,0.061337691929
-230.769231,169.230769,0.0395385068777,0.0649131778688
-230.769231,176.923077,0.0406606121524,0.0683495054023
-230.769231,184.615385,0.0417122505234,0.0716480461661
-230.769231,192.307692,0.0427631266659,0.0748988314617
-230.769231,200.000000,0.0438472716341,0.0781395437227
-230.769231,207.692308,0.0449560886159,0.0816246731172
-230.769231,215.384615,0.0459374154133,0.0847971354572
-230.769231,223.076923,0.0473122157392,0.0878836801136
-230.769231,230.769231,0.048209960612,0.0911111777343
-230.769231,238.461538,0.0486890190432,0.0934960025847
-230.769231,246.153846,0.0497944030091,0.096487397706
-230.769231,253.846154,0.0507077873381,0.099366322957
-230.769231,261.538462,0.051491172162,0.101980113787
-230.769231,269.230769,0.0523106880014,0.104604468276
-230.769231,276.923077,0.053159106607,0.107238953406
-230.769231,284.615385,0.0539790361372,0.109801874362
-230.769231,292.307692,0.0548079321453,0.112320080767
-230.769231,300.000000,0.0555821398921,0.114697112574
-223.076923,0.000000,0.00783370279893,-0.0259714773274
-223.076923,7.692308,0.00945976015474,-0.0212011301313
-223.076923,15.384615,0.0110474446357,-0.01652020634
-223.076923,23.076923,0.0126753238473,-0.0119448848423
-223.076923,30.769231,0.0142759027645,-0.00740432125278
-223.076923,38.461538,0.0159183865738,-0.00292314832827
-223.076923,46.153846,0.0175401122771,0.00148968268143
-223.076923,53.846154,0.0190744295694,0.00592878857249
-223.076923,61.538462,0.0209305924832,0.0103353180559
-223.076923,69.230769,0.0223578932783,0.0147499649596
-223.076923,76.923077,0.0240056456908,0.0191996593643
-223.076923,84.615385,0.0253084642037,0.0236759768473
-223.076923,92.307692,0.0268358055883,0.0281353931459
-223.076923,100.000000,0.0282278591846,0.0325031518079
-223.076923,107.692308,0.0296033105424,0.0365722419895
-223.076923,115.384615,0.030918065715,0.0403803712056
-223.076923,123.076923,0.0322284165094,0.0441569317327
-223.076923,130.769231,0.0335989735988,0.04800183997
-223.076923,138.461538,0.0349424091246,0.051933163561
-223.076923,146.153846,0.0362496532482,0.0558549020225
-223.076923,153.846154,0.0375616590552,0.0596739769294
-223.076923,161.538462,0.0387897529241,0.063357782679
-223.076923,169.230769,0.0399548689978,0.0668993086687
-223.076923,176.923077,0.041037309728,0.070287727936
-223.076923,184.615385,0.0421159205532,0.0735780651314
-223.076923,192.307692,0.0432818728289,0.0768796813113
-223.076923,200.000000,0.0443205770212,0.0804103070084
-223.076923,207.692308,0.0453468413227,0.0836737446003
-223.076923,215.384615,0.0467624359072,0.0867940580858
-223.076923,223.076923,0.0476825448252,0.0900840214499
-223.076923,230.769231,0.0482063210875,0.092589082409
-223.076923,238.461538,0.0493490742251,0.0956156428788
-223.076923,246.153846,0.0502451439582,0.0984990613484
-223.076923,253.846154,0.0510104486201,0.101138746484
-223.076923,261.538462,0.0518486626349,0.103803060534
-223.076923,269.230769,0.0527356302436,0.10648884875
-223.076923,276.923077,0.0535634111803,0.109098051924
-223.076923,284.615385,0.0544091658721,0.111648609567
-223.076923,292.307692,0.0552167277888,0.114084001266
-223.076923,300.000000,0.0560843415208,0.116495201768
-215.384615,0.000000,0.00795981391803,-0.0251115205101
-215.384615,7.692308,0.00962146835208,-0.0202351242841
-215.384615,15.384615,0.0112493625145,-0.0154859343462
-215.384615,23.076923,0.0129042886121,-0.0108519109445
-215.384615,30.769231,0.0145230672017,-0.0062628141489
-215.384615,38.461538,0.0162121876778,-0.00174157089836
-215.384615,46.153846,0.0178374642709,0.00273727448988
-215.384615,53.846154,0.0193395697483,0.00721236673584
-215.384615,61.538462,0.0211402881939,0.011674320711
-215.384615,69.230769,0.0221832052623,0.0161701378898
-215.384615,76.923077,0.024138932325,0.0206907902869
-215.384615,84.615385,0.0257308603495,0.0252398000131
-215.384615,92.307692,0.0271780207987,0.0297511977319
-215.384615,100.000000,0.0285894089266,0.0341397429262
-215.384615,107.692308,0.0299782196996,0.0382025663591
-215.384615,115.384615,0.0312946380543,0.0420841648632
-215.384615,123.076923,0.0326777913381,0.0460235120601
